index,user_query,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
61,student_144,3.0,5.0,4.0,5.0,1.0,3.0,2.0,3.0,1.0,5.0,3.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,5.0,3.0,1.0,4.0,3.0,2.0,2.0
62,student_161,2.0,2.0,3.0,1.0,5.0,3.0,3.0,5.0,5.0,3.0,1.0,5.0,3.0,1.0,3.0,2.0,3.0,2.0,4.0,2.0,1.0,5.0,4.0,5.0,1.0,5.0,3.0,1.0,1.0,1.0
63,student_164,5.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,2.0,5.0,2.0,5.0,4.0,2.0,1.0,4.0,4.0,1.0,3.0,5.0,3.0,5.0,5.0
64,student_166,1.0,2.0,4.0,3.0,1.0,3.0,3.0,4.0,2.0,1.0,3.0,5.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,5.0,1.0,5.0,4.0,5.0,2.0,3.0,2.0,2.0,4.0
65,student_167,1.0,4.0,2.0,2.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,1.0,1.0,5.0,1.0,4.0,4.0,1.0,2.0,1.0,5.0,2.0,2.0,4.0,4.0,3.0,5.0,2.0
66,student_17,4.0,4.0,3.0,2.0,3.0,1.0,4.0,1.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,1.0,3.0,5.0,3.0,2.0,2.0
67,student_170,2.0,1.0,3.0,2.0,5.0,4.0,2.0,3.0,2.0,5.0,3.0,4.0,1.0,3.0,5.0,1.0,2.0,3.0,1.0,4.0,5.0,3.0,1.0,3.0,2.0,5.0,3.0,3.0,4.0,4.0
68,student_180,4.0,3.0,3.0,4.0,1.0,5.0,3.0,4.0,2.0,5.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,1.0,4.0,5.0,2.0,5.0,4.0,2.0,5.0,3.0,5.0,3.0,2.0,5.0
69,student_182,2.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,5.0,3.0,1.0,2.0,5.0,5.0,3.0,1.0,3.0,4.0,2.0,1.0,3.0,4.0,5.0
70,student_193,2.0,1.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,5.0,1.0,3.0,1.0,4.0,1.0,3.0,4.0,5.0,3.0,2.0,1.0,2.0,3.0,5.0,4.0,5.0,4.0
71,student_194,3.0,3.0,2.0,3.0,5.0,5.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,3.0,5.0,1.0,5.0,4.0,5.0,4.0,5.0,1.0,3.0,1.0,3.0
72,student_195,5.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,3.0,4.0,3.0,5.0,1.0,4.0,3.0,3.0,2.0,5.0,5.0,3.0,4.0,2.0,1.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0
73,student_21,2.0,1.0,3.0,2.0,5.0,1.0,3.0,4.0,4.0,5.0,4.0,1.0,2.0,4.0,5.0,5.0,2.0,4.0,2.0,5.0,3.0,2.0,3.0,4.0,1.0,3.0,2.0,4.0,3.0,5.0
